,combination,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Label,n_element
184,NbVZr,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,not_HEA,3
185,NiPdV,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,not_HEA,3
186,NiRhV,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,not_HEA,3
187,PdTiV,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,not_HEA,3
188,AgCoCrCu,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,not_HEA,4
189,AgCoCrPd,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,not_HEA,4
190,AgCoCrRu,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,not_HEA,4
191,AgCoMoPd,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,not_HEA,4
192,AgCoMoRh,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,not_HEA,4
193,AgCoPdRu,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,not_HEA,4
194,AgCrCuPd,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,not_HEA,4
195,AgCrCuRu,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,not_HEA,4
196,AgCrNiRh,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,not_HEA,4
197,AgCuFePd,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,HEA,4
198,AgCuFeRu,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,not_HEA,4
199,AgCuNbPd,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,HEA,4
200,AgCuPdRh,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,HEA,4
201,AgFeMoPd,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,not_HEA,4
202,AgFeMoRu,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,not_HEA,4
203,AgFePdRu,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,not_HEA,4
204,AgMoPdRu,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,not_HEA,4
205,AgPdRhRu,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,not_HEA,4
206,CoCrMnNi,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,HEA,4
207,CoCrPdRh,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,HEA,4
208,CoCuNiPd,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,HEA,4
209,CoCuPdRh,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,HEA,4
210,CoMoPdRu,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,HEA,4
211,CoNiPdRu,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,HEA,4
212,CrCuFeMo,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,not_HEA,4
213,CrCuFePd,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,not_HEA,4
214,CrCuMoV,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,not_HEA,4
215,CrCuNbTi,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,not_HEA,4
216,CrCuNiPd,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,HEA,4
217,CrCuPdRu,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,not_HEA,4
218,CrCuTiV,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,HEA,4
219,CrFeMnMo,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,HEA,4
220,CrFeMnV,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,HEA,4
221,CrFeMoNi,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,HEA,4
222,CrFeMoTi,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,HEA,4
223,CrFeNbV,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,HEA,4
224,CrFePdRu,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,HEA,4
225,CrMnMoNb,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,HEA,4
226,CrMnNbV,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,HEA,4
227,CrMoTiV,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,HEA,4
228,CrNbNiV,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,HEA,4
229,CrNbTiZr,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,not_HEA,4
230,CuFeMnNb,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,not_HEA,4
231,CuFeMnV,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,not_HEA,4
232,CuFeNiPd,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,HEA,4
233,CuMnMoV,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,not_HEA,4
234,CuMnNbV,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,not_HEA,4
235,CuMnTiV,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,not_HEA,4
236,CuMoNbV,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,HEA,4
237,CuNbTiV,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,HEA,4
238,CuNiPdRh,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,HEA,4
239,FeMnMoNb,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,HEA,4
240,FeMnMoTi,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,HEA,4
241,FeMnNbV,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,HEA,4
242,FeMnTiV,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,not_HEA,4
