key,atom,cluster0,cluster1,cluster2,cluster3
1D-016,7,3.234290771226124e-34,1.5810526651821898e-36,0.9999999748219434,2.517805641438582e-08
1D-017,0,5.922987824090129e-34,2.8231973830281155e-36,0.9999999703758529,2.962414692600591e-08
1D-017,1,2.8465823383547576e-31,1.3638709522648743e-33,0.9999998599379478,1.4006205206684409e-07
1D-017,2,3.408046257319203e-34,1.6487610141461946e-36,0.9999999747707727,2.5229226937702712e-08
1D-017,3,5.256085694775003e-31,2.56062531443449e-33,0.9999998398983568,1.6010164295535638e-07
1D-017,4,5.906063639730532e-34,2.8152924186178918e-36,0.9999999704007068,2.959929314859395e-08
1D-017,5,2.83726422365417e-31,1.359247380682927e-33,0.9999998600450346,1.3995496549521426e-07
1D-017,6,3.4015218531435356e-34,1.645633197306807e-36,0.999999974786474,2.5213525969796633e-08
1D-017,7,5.220507399885755e-31,2.5428538475206776e-33,0.9999998401275113,1.5987248848685867e-07
1D-018,0,1.4648309814008478e-32,6.566767358913535e-35,0.9999999324675276,6.75324723583186e-08
1D-018,1,3.6548863263533257e-34,1.7258392884735737e-36,0.9999999750947403,2.4905259876507964e-08
1D-018,2,1.458739123171874e-32,6.53733022257558e-35,0.9999999325655407,6.743445946264538e-08
1D-018,3,3.651500906204194e-34,1.7241293559630164e-36,0.9999999751049721,2.4895027954229047e-08
1D-018,4,1.4629119193546224e-32,6.557687033912044e-35,0.9999999324957957,6.750420425236361e-08
1D-018,5,3.6574132210507704e-34,1.72706375410009e-36,0.999999975088237,2.4911762963587346e-08
1D-018,6,1.4578139120127014e-32,6.533731714351471e-35,0.9999999325688522,6.743114763991828e-08
1D-018,7,3.634447539342398e-34,1.715999064343651e-36,0.9999999751460805,2.4853919504539218e-08
1D-019,0,2.7902336284549244e-31,1.1908945327598012e-33,0.9999998780762581,1.219237419171317e-07
1D-019,1,6.257921247809469e-39,6.26583101274841e-40,0.9999999528754431,4.712455706644825e-08
1D-019,2,2.491899685050351e-31,1.062092088972427e-33,0.9999998809581263,1.1904187346907105e-07
1D-019,3,1.4723375010516034e-30,6.978520205328151e-33,0.9999998141273263,1.858726737050607e-07
