,liquid_range,molar_volume,critical_temperature,boiling_point,melting_point,velocity_of_sound,log10_thermal_conductivity,X,mineral_hardness,density_of_solid,rigidity_modulus,bulk_modulus,youngs_modulus,log10_electrical_resistivity,log10_coefficient_of_linear_thermal_expansion,poissons_ratio,brinell_hardness,superconduction_temperature,log10_vickers_hardness,reflectivity
Ir,1962.0,8.52,,4701.0,2739.0,4825.0,2.1760912590556813,2.2,6.5,22650.0,210.0,320.0,528.0,-7.327902142064283,-5.1938200260161125,0.26,1670.0,0.11,3.24551266781415,78.0
Pt,2056.6,9.09,,4098.0,2041.4,2680.0,1.8573324964312685,2.28,3.5,21090.0,61.0,230.0,168.0,-6.97469413473523,-5.055517327849831,0.38,392.0,,2.739572344450092,73.0
Au,1791.67,10.21,,3129.0,1337.33,1740.0,2.505149978319906,2.54,2.5,19300.0,27.0,220.0,78.0,-7.657577319177793,-4.847711655616943,0.44,2450.0,,2.3344537511509307,95.0
Hg,395.56,14.09,1750.0,629.88,234.32,1407.0,0.919078092376074,2.0,1.5,,,25.0,,-6.017728766960432,,,,3.95,,73.0
Tl,1169.0,17.22,,1746.0,577.0,818.0,1.662757831681574,1.62,1.2,11850.0,2.8,43.0,8.0,-6.823908740944319,-4.52432881167557,0.45,26.4,2.38,,
Pb,1421.39,18.26,,2022.0,600.61,1260.0,1.5440680443502757,2.33,1.5,11340.0,5.6,46.0,16.0,-6.6777807052660805,-4.539102157243452,0.44,38.3,7.2,,
Bi,1292.6,21.31,,1837.0,544.4,1790.0,0.9030899869919435,2.02,2.25,9780.0,12.0,31.0,32.0,-5.886056647693163,-4.872895201635193,0.33,94.2,,,
Po,708.0,22.97,,1235.0,527.0,,1.3010299956639813,2.0,,9196.0,,,,-6.3979400086720375,,,,,,
At,,,,,575.0,,0.3010299956639812,2.2,,,,,,,,,,,,
Rn,9.3,50.5,377.0,211.3,202.0,,-2.4424927980943423,2.2,,,,,,,,,,,,
Fr,,,,,,,,0.7,,,,,,,,,,,,
Ra,1037.0,41.09,,2010.0,973.0,,1.2787536009528289,0.9,,5000.0,,,,-6.0,,,,,,
Ac,2250.0,22.55,,3573.0,1323.0,,1.0791812460476249,1.1,,10070.0,,,,,,,,,,
Th,2978.0,19.8,,5093.0,2115.0,2490.0,1.7323937598229686,1.3,3.0,11724.0,31.0,54.0,79.0,-6.823908740944319,-4.958607314841775,0.27,400.0,1.38,2.5440680443502757,
Pa,,15.18,,,1841.0,,1.6720978579357175,1.5,,15370.0,,,,-6.7447274948966935,,,,1.4,,
U,2794.7,12.49,,4200.0,1405.3,3155.0,1.4313637641589874,1.38,6.0,19050.0,111.0,100.0,208.0,-6.552841968657781,-4.856985199745905,0.23,2400.0,0.2,3.292256071356476,
Np,3363.0,11.59,,4273.0,910.0,,0.7781512503836436,1.36,,20450.0,,,,-5.920818753952375,,,,,,
Pu,2590.5,12.29,,3503.0,912.5,2260.0,0.7781512503836436,1.28,,19816.0,43.0,,96.0,-5.823908740944319,,0.21,,,,
Am,1431.0,17.63,,2880.0,1449.0,,1.0,1.3,,,,,,,,,,0.6,,
Cm,1770.0,18.05,,3383.0,1613.0,,0.9444826721501687,1.3,,13510.0,,,,,,,,,,
Bk,,16.84,,,1259.0,,1.0,1.3,,14780.0,,,,,,,,,,
Cf,,16.5,,,1173.0,,,1.3,,15100.0,,,,,,,,,,
Es,,28.52,,,1133.0,,,1.3,,,,,,,,,,,,
Fm,,,,,1800.0,,,1.3,,,,,,,,,,,,
Md,,,,,1100.0,,,1.3,,,,,,,,,,,,
No,,,,,1100.0,,,1.3,,,,,,,,,,,,
